   Query_Type | #Occurences   | % of total records
--------------------------------------------------
            1 | 4243826476    | 66.518
           12 | 971112172     | 15.221
           28 | 832590597     | 13.050
           16 | 106211860     | 1.665
           15 | 97499867      | 1.528
           33 | 60823894      | 0.953
            6 | 28243052      | 0.443
          255 | 25281941      | 0.396
            2 | 7871088       | 0.123
           99 | 3806933       | 0.060
           38 | 746416        | 0.012
           43 | 662649        | 0.010
            5 | 581424        | 0.009
           35 | 458854        | 0.007
        32769 | 133596        | 0.002
           48 | 69170         | 0.001
           18 | 3781          | 0.000
           19 | 2070          | 0.000
           44 | 1621          | 0.000
           10 | 1243          | 0.000
           46 | 993           | 0.000
           13 | 940           | 0.000
            0 | 502           | 0.000
           51 | 325           | 0.000
        13172 | 200           | 0.000
          253 | 133           | 0.000
           65 | 114           | 0.000
           11 | 104           | 0.000
           17 | 89            | 0.000
         3001 | 50            | 0.000
           25 | 50            | 0.000
          168 | 49            | 0.000
         1169 | 45            | 0.000
        65468 | 42            | 0.000
         6913 | 37            | 0.000
           22 | 17            | 0.000
           29 | 15            | 0.000
        22101 | 13            | 0.000
          138 | 12            | 0.000
         6614 | 9             | 0.000
           56 | 9             | 0.000
          219 | 8             | 0.000
          136 | 8             | 0.000
           32 | 7             | 0.000
          118 | 7             | 0.000
            3 | 5             | 0.000
           85 | 4             | 0.000
        62321 | 4             | 0.000
        25355 | 4             | 0.000
       206098 | 4             | 0.000
          193 | 4             | 0.000
          144 | 4             | 0.000
           14 | 4             | 0.000
          595 | 3             | 0.000
        49432 | 3             | 0.000
        49244 | 3             | 0.000
        21743 | 3             | 0.000
          120 | 3             | 0.000
          995 | 2             | 0.000
            9 | 2             | 0.000
           64 | 2             | 0.000
        56711 | 2             | 0.000
          512 | 2             | 0.000
        49164 | 2             | 0.000
           47 | 2             | 0.000
        43232 | 2             | 0.000
        37888 | 2             | 0.000
         3535 | 2             | 0.000
        31887 | 2             | 0.000
        29412 | 2             | 0.000
         2610 | 2             | 0.000
        25912 | 2             | 0.000
          257 | 2             | 0.000
          246 | 2             | 0.000
           20 | 2             | 0.000
          199 | 2             | 0.000
        19521 | 2             | 0.000
          174 | 2             | 0.000
   1328805747 | 2             | 0.000
   1328610305 | 2             | 0.000
   1328193130 | 2             | 0.000
   1328188400 | 2             | 0.000
   1328181068 | 2             | 0.000
   1328180762 | 2             | 0.000
         9968 | 1             | 0.000
          992 | 1             | 0.000
         9862 | 1             | 0.000
         9622 | 1             | 0.000
         9555 | 1             | 0.000
         9494 | 1             | 0.000
         9431 | 1             | 0.000
          924 | 1             | 0.000
         9200 | 1             | 0.000
         9171 | 1             | 0.000
         9125 | 1             | 0.000
          903 | 1             | 0.000
         8882 | 1             | 0.000
         8860 | 1             | 0.000
         8844 | 1             | 0.000
         8826 | 1             | 0.000
         8813 | 1             | 0.000
           87 | 1             | 0.000
         8682 | 1             | 0.000
         8599 | 1             | 0.000
         8525 | 1             | 0.000
          850 | 1             | 0.000
         8398 | 1             | 0.000
           83 | 1             | 0.000
          830 | 1             | 0.000
         8282 | 1             | 0.000
         8220 | 1             | 0.000
         8153 | 1             | 0.000
         8122 | 1             | 0.000
          812 | 1             | 0.000
         7949 | 1             | 0.000
          786 | 1             | 0.000
         7857 | 1             | 0.000
         7736 | 1             | 0.000
         7695 | 1             | 0.000
           76 | 1             | 0.000
           75 | 1             | 0.000
         7509 | 1             | 0.000
         7347 | 1             | 0.000
         7274 | 1             | 0.000
         7244 | 1             | 0.000
           72 | 1             | 0.000
         7200 | 1             | 0.000
         7195 | 1             | 0.000
         7144 | 1             | 0.000
         7134 | 1             | 0.000
            7 | 1             | 0.000
         7096 | 1             | 0.000
         7084 | 1             | 0.000
         7060 | 1             | 0.000
           70 | 1             | 0.000
         6962 | 1             | 0.000
          695 | 1             | 0.000
         6689 | 1             | 0.000
         6563 | 1             | 0.000
        65443 | 1             | 0.000
        65289 | 1             | 0.000
        65288 | 1             | 0.000
          650 | 1             | 0.000
        64923 | 1             | 0.000
        64917 | 1             | 0.000
        64913 | 1             | 0.000
        64882 | 1             | 0.000
        64844 | 1             | 0.000
        64759 | 1             | 0.000
        64673 | 1             | 0.000
        64639 | 1             | 0.000
         6452 | 1             | 0.000
        64289 | 1             | 0.000
        64229 | 1             | 0.000
        64225 | 1             | 0.000
        64194 | 1             | 0.000
        64139 | 1             | 0.000
        64089 | 1             | 0.000
        64042 | 1             | 0.000
        63931 | 1             | 0.000
        63906 | 1             | 0.000
         6387 | 1             | 0.000
         6380 | 1             | 0.000
        63786 | 1             | 0.000
        63729 | 1             | 0.000
        63723 | 1             | 0.000
        63721 | 1             | 0.000
        63625 | 1             | 0.000
        63548 | 1             | 0.000
         6353 | 1             | 0.000
         6351 | 1             | 0.000
        63495 | 1             | 0.000
        63487 | 1             | 0.000
        63434 | 1             | 0.000
         6339 | 1             | 0.000
        63248 | 1             | 0.000
        63245 | 1             | 0.000
        63189 | 1             | 0.000
        63084 | 1             | 0.000
        63031 | 1             | 0.000
        63030 | 1             | 0.000
        63027 | 1             | 0.000
        62977 | 1             | 0.000
        62878 | 1             | 0.000
        62742 | 1             | 0.000
         6267 | 1             | 0.000
        62660 | 1             | 0.000
        62624 | 1             | 0.000
        62618 | 1             | 0.000
        62508 | 1             | 0.000
         6240 | 1             | 0.000
        62355 | 1             | 0.000
        62240 | 1             | 0.000
        62189 | 1             | 0.000
        62176 | 1             | 0.000
        62142 | 1             | 0.000
        62080 | 1             | 0.000
         6194 | 1             | 0.000
        61913 | 1             | 0.000
         6188 | 1             | 0.000
         6187 | 1             | 0.000
        61857 | 1             | 0.000
        61672 | 1             | 0.000
        61399 | 1             | 0.000
        61331 | 1             | 0.000
        61312 | 1             | 0.000
         6128 | 1             | 0.000
        61246 | 1             | 0.000
         6124 | 1             | 0.000
        61172 | 1             | 0.000
        61082 | 1             | 0.000
        61051 | 1             | 0.000
        60935 | 1             | 0.000
        60911 | 1             | 0.000
        60829 | 1             | 0.000
        60711 | 1             | 0.000
        60588 | 1             | 0.000
        60528 | 1             | 0.000
        60527 | 1             | 0.000
        60516 | 1             | 0.000
        60454 | 1             | 0.000
         6043 | 1             | 0.000
        60382 | 1             | 0.000
        60280 | 1             | 0.000
        60192 | 1             | 0.000
        60182 | 1             | 0.000
        60096 | 1             | 0.000
        60066 | 1             | 0.000
        59973 | 1             | 0.000
        59890 | 1             | 0.000
        59855 | 1             | 0.000
        59717 | 1             | 0.000
        59600 | 1             | 0.000
        59546 | 1             | 0.000
        59428 | 1             | 0.000
         5941 | 1             | 0.000
        59330 | 1             | 0.000
        59321 | 1             | 0.000
        59238 | 1             | 0.000
        58890 | 1             | 0.000
        58852 | 1             | 0.000
        58843 | 1             | 0.000
        58782 | 1             | 0.000
        58689 | 1             | 0.000
        58667 | 1             | 0.000
        58585 | 1             | 0.000
        58322 | 1             | 0.000
        58156 | 1             | 0.000
        57941 | 1             | 0.000
         5783 | 1             | 0.000
         5770 | 1             | 0.000
        57591 | 1             | 0.000
        57584 | 1             | 0.000
        57571 | 1             | 0.000
        57564 | 1             | 0.000
        57526 | 1             | 0.000
         5745 | 1             | 0.000
         5739 | 1             | 0.000
        57249 | 1             | 0.000
        57229 | 1             | 0.000
         5722 | 1             | 0.000
        57212 | 1             | 0.000
        57207 | 1             | 0.000
        57145 | 1             | 0.000
        57137 | 1             | 0.000
        57125 | 1             | 0.000
         5710 | 1             | 0.000
        57059 | 1             | 0.000
        57026 | 1             | 0.000
        56861 | 1             | 0.000
        56706 | 1             | 0.000
        56692 | 1             | 0.000
        56683 | 1             | 0.000
        56617 | 1             | 0.000
        56575 | 1             | 0.000
        56538 | 1             | 0.000
         5637 | 1             | 0.000
        56288 | 1             | 0.000
        55978 | 1             | 0.000
        55966 | 1             | 0.000
        55959 | 1             | 0.000
        55760 | 1             | 0.000
        55694 | 1             | 0.000
        55692 | 1             | 0.000
        55673 | 1             | 0.000
        55652 | 1             | 0.000
        55596 | 1             | 0.000
        55547 | 1             | 0.000
         5554 | 1             | 0.000
        55535 | 1             | 0.000
         5552 | 1             | 0.000
         5541 | 1             | 0.000
        55233 | 1             | 0.000
        55206 | 1             | 0.000
        55051 | 1             | 0.000
        55050 | 1             | 0.000
        55036 | 1             | 0.000
        55020 | 1             | 0.000
        54982 | 1             | 0.000
        54659 | 1             | 0.000
        54599 | 1             | 0.000
        54590 | 1             | 0.000
        54579 | 1             | 0.000
        54483 | 1             | 0.000
         5448 | 1             | 0.000
        54446 | 1             | 0.000
        54433 | 1             | 0.000
        54385 | 1             | 0.000
          543 | 1             | 0.000
        54103 | 1             | 0.000
        54085 | 1             | 0.000
        54055 | 1             | 0.000
        54030 | 1             | 0.000
        54021 | 1             | 0.000
        54013 | 1             | 0.000
        54009 | 1             | 0.000
        53967 | 1             | 0.000
        53953 | 1             | 0.000
        53918 | 1             | 0.000
         5384 | 1             | 0.000
        53830 | 1             | 0.000
         5379 | 1             | 0.000
          537 | 1             | 0.000
        53609 | 1             | 0.000
        53551 | 1             | 0.000
        53489 | 1             | 0.000
        53483 | 1             | 0.000
        53434 | 1             | 0.000
        53337 | 1             | 0.000
        53205 | 1             | 0.000
        53187 | 1             | 0.000
        53120 | 1             | 0.000
        52988 | 1             | 0.000
        52957 | 1             | 0.000
        52895 | 1             | 0.000
        52865 | 1             | 0.000
        52822 | 1             | 0.000
         5280 | 1             | 0.000
        52773 | 1             | 0.000
         5276 | 1             | 0.000
        52746 | 1             | 0.000
        52653 | 1             | 0.000
        52622 | 1             | 0.000
         5258 | 1             | 0.000
        52554 | 1             | 0.000
        52451 | 1             | 0.000
        52389 | 1             | 0.000
        52360 | 1             | 0.000
        52316 | 1             | 0.000
         5230 | 1             | 0.000
        52168 | 1             | 0.000
        52134 | 1             | 0.000
        52097 | 1             | 0.000
        51882 | 1             | 0.000
        51852 | 1             | 0.000
        51811 | 1             | 0.000
        51784 | 1             | 0.000
        51601 | 1             | 0.000
        51486 | 1             | 0.000
        51444 | 1             | 0.000
        51361 | 1             | 0.000
        51346 | 1             | 0.000
         5115 | 1             | 0.000
        51029 | 1             | 0.000
        50889 | 1             | 0.000
        50876 | 1             | 0.000
         5087 | 1             | 0.000
        50831 | 1             | 0.000
        50777 | 1             | 0.000
        50735 | 1             | 0.000
        50677 | 1             | 0.000
        50643 | 1             | 0.000
        50614 | 1             | 0.000
        50565 | 1             | 0.000
        50550 | 1             | 0.000
        50543 | 1             | 0.000
        50525 | 1             | 0.000
        50503 | 1             | 0.000
        50458 | 1             | 0.000
        50188 | 1             | 0.000
        50176 | 1             | 0.000
        50133 | 1             | 0.000
        50124 | 1             | 0.000
        50039 | 1             | 0.000
        50008 | 1             | 0.000
        49946 | 1             | 0.000
        49931 | 1             | 0.000
        49851 | 1             | 0.000
         4985 | 1             | 0.000
        49801 | 1             | 0.000
        49739 | 1             | 0.000
        49712 | 1             | 0.000
         4968 | 1             | 0.000
        49642 | 1             | 0.000
         4959 | 1             | 0.000
        49534 | 1             | 0.000
        49520 | 1             | 0.000
        49408 | 1             | 0.000
         4938 | 1             | 0.000
        49238 | 1             | 0.000
        49159 | 1             | 0.000
        49146 | 1             | 0.000
        49062 | 1             | 0.000
        49021 | 1             | 0.000
        49003 | 1             | 0.000
        48983 | 1             | 0.000
        48969 | 1             | 0.000
        48902 | 1             | 0.000
        48874 | 1             | 0.000
        48771 | 1             | 0.000
        48755 | 1             | 0.000
        48637 | 1             | 0.000
        48561 | 1             | 0.000
        48496 | 1             | 0.000
        48378 | 1             | 0.000
        48278 | 1             | 0.000
        48268 | 1             | 0.000
        48259 | 1             | 0.000
        48184 | 1             | 0.000
        48104 | 1             | 0.000
        48031 | 1             | 0.000
        47992 | 1             | 0.000
        47907 | 1             | 0.000
        47771 | 1             | 0.000
        47769 | 1             | 0.000
        47725 | 1             | 0.000
        47684 | 1             | 0.000
        47654 | 1             | 0.000
        47597 | 1             | 0.000
        47425 | 1             | 0.000
        47386 | 1             | 0.000
        47371 | 1             | 0.000
        47301 | 1             | 0.000
        47276 | 1             | 0.000
        47213 | 1             | 0.000
        47010 | 1             | 0.000
        46923 | 1             | 0.000
        46850 | 1             | 0.000
        46841 | 1             | 0.000
        46717 | 1             | 0.000
        46703 | 1             | 0.000
        46680 | 1             | 0.000
        46473 | 1             | 0.000
        46418 | 1             | 0.000
        46413 | 1             | 0.000
        46390 | 1             | 0.000
        46086 | 1             | 0.000
        45976 | 1             | 0.000
        45940 | 1             | 0.000
        45880 | 1             | 0.000
        45714 | 1             | 0.000
        45698 | 1             | 0.000
        45536 | 1             | 0.000
     45493951 | 1             | 0.000
         4547 | 1             | 0.000
         4533 | 1             | 0.000
        45314 | 1             | 0.000
        45198 | 1             | 0.000
        45119 | 1             | 0.000
           45 | 1             | 0.000
        45057 | 1             | 0.000
        45041 | 1             | 0.000
        45010 | 1             | 0.000
        44997 | 1             | 0.000
        44992 | 1             | 0.000
        44960 | 1             | 0.000
        44955 | 1             | 0.000
        44907 | 1             | 0.000
        44891 | 1             | 0.000
        44872 | 1             | 0.000
        44847 | 1             | 0.000
        44770 | 1             | 0.000
        44699 | 1             | 0.000
        44554 | 1             | 0.000
        44518 | 1             | 0.000
        44462 | 1             | 0.000
         4445 | 1             | 0.000
        44183 | 1             | 0.000
        44108 | 1             | 0.000
        44059 | 1             | 0.000
        44011 | 1             | 0.000
         4397 | 1             | 0.000
         4395 | 1             | 0.000
        43791 | 1             | 0.000
        43786 | 1             | 0.000
        43682 | 1             | 0.000
        43602 | 1             | 0.000
        43586 | 1             | 0.000
        43538 | 1             | 0.000
        43523 | 1             | 0.000
         4335 | 1             | 0.000
        43281 | 1             | 0.000
        43236 | 1             | 0.000
        43137 | 1             | 0.000
        43079 | 1             | 0.000
         4298 | 1             | 0.000
        42920 | 1             | 0.000
        42917 | 1             | 0.000
        42895 | 1             | 0.000
        42771 | 1             | 0.000
        42535 | 1             | 0.000
        42290 | 1             | 0.000
         4217 | 1             | 0.000
        42152 | 1             | 0.000
        42150 | 1             | 0.000
        42027 | 1             | 0.000
        42005 | 1             | 0.000
        41932 | 1             | 0.000
        41918 | 1             | 0.000
         4185 | 1             | 0.000
        41705 | 1             | 0.000
        41696 | 1             | 0.000
         4169 | 1             | 0.000
        41615 | 1             | 0.000
        41418 | 1             | 0.000
        41166 | 1             | 0.000
        41071 | 1             | 0.000
            4 | 1             | 0.000
        40952 | 1             | 0.000
        40707 | 1             | 0.000
        40615 | 1             | 0.000
        40529 | 1             | 0.000
        40504 | 1             | 0.000
        40489 | 1             | 0.000
        40462 | 1             | 0.000
        40247 | 1             | 0.000
        40210 | 1             | 0.000
        40167 | 1             | 0.000
        40115 | 1             | 0.000
          401 | 1             | 0.000
        40052 | 1             | 0.000
        39927 | 1             | 0.000
          399 | 1             | 0.000
        39878 | 1             | 0.000
        39871 | 1             | 0.000
        39785 | 1             | 0.000
         3971 | 1             | 0.000
        39625 | 1             | 0.000
        39601 | 1             | 0.000
        39563 | 1             | 0.000
        39543 | 1             | 0.000
        39464 | 1             | 0.000
     39457275 | 1             | 0.000
        39362 | 1             | 0.000
         3929 | 1             | 0.000
        39168 | 1             | 0.000
        39128 | 1             | 0.000
         3911 | 1             | 0.000
        38979 | 1             | 0.000
        38973 | 1             | 0.000
        38965 | 1             | 0.000
        38939 | 1             | 0.000
        38878 | 1             | 0.000
        38862 | 1             | 0.000
        38800 | 1             | 0.000
        38796 | 1             | 0.000
        38774 | 1             | 0.000
        38628 | 1             | 0.000
        38619 | 1             | 0.000
        38596 | 1             | 0.000
        38587 | 1             | 0.000
        38540 | 1             | 0.000
        38439 | 1             | 0.000
        38347 | 1             | 0.000
        38258 | 1             | 0.000
        38235 | 1             | 0.000
         3819 | 1             | 0.000
        38105 | 1             | 0.000
        38058 | 1             | 0.000
        37985 | 1             | 0.000
        37962 | 1             | 0.000
        37912 | 1             | 0.000
        37895 | 1             | 0.000
        37738 | 1             | 0.000
        37728 | 1             | 0.000
        37677 | 1             | 0.000
        37461 | 1             | 0.000
        37382 | 1             | 0.000
        37231 | 1             | 0.000
        36864 | 1             | 0.000
        36848 | 1             | 0.000
        36630 | 1             | 0.000
        36500 | 1             | 0.000
