          com | 294843231     | 44.454
          net | 177277446     | 26.728
         arpa | 101532512     | 15.308
          org | 24415965      | 3.681
           uk | 4106912       | 0.619
          edu | 3990229       | 0.602
           ru | 3581569       | 0.540
           us | 3241002       | 0.489
           de | 3216515       | 0.485
         info | 2565809       | 0.387
           cn | 2241200       | 0.338
           ca | 2194366       | 0.331
          gov | 2112127       | 0.318
           it | 1948466       | 0.294
           jp | 1859908       | 0.280
           au | 1809040       | 0.273
           fr | 1728730       | 0.261
          biz | 1609327       | 0.243
           pl | 1371152       | 0.207
           kr | 1310881       | 0.198
           co | 1309053       | 0.197
           br | 1260680       | 0.190
           nl | 1081563       | 0.163
           tv | 1076272       | 0.162
           in | 1044497       | 0.157
           ua | 1010043       | 0.152
           dk | 986869        | 0.149
           es | 963536        | 0.145
           ch | 872007        | 0.131
           ro | 719649        | 0.109
           ge | 711489        | 0.107
          mil | 694420        | 0.105
           eu | 652638        | 0.098
           cc | 630432        | 0.095
           se | 547553        | 0.083
           ar | 519467        | 0.078
           mx | 511251        | 0.077
           tw | 494658        | 0.075
           me | 431667        | 0.065
           be | 414027        | 0.062
           at | 405865        | 0.061
           cz | 399959        | 0.060
           hu | 396071        | 0.060
           il | 330312        | 0.050
           vn | 313165        | 0.047
           nz | 299406        | 0.045
           ir | 282229        | 0.043
           tr | 280725        | 0.042
           za | 274571        | 0.041
           cl | 251910        | 0.038
           fi | 251147        | 0.038
           no | 250966        | 0.038
           ph | 234790        | 0.035
           sg | 228944        | 0.035
           pt | 214355        | 0.032
           gr | 207655        | 0.031
           id | 203018        | 0.031
           th | 182764        | 0.028
           ws | 178140        | 0.027
           bz | 177532        | 0.027
           ie | 171111        | 0.026
           hk | 168300        | 0.025
           lv | 155911        | 0.024
           bg | 153165        | 0.023
           to | 152052        | 0.023
         mobi | 143577        | 0.022
          int | 130845        | 0.020
           su | 127795        | 0.019
         name | 124460        | 0.019
           rs | 120536        | 0.018
           lt | 116639        | 0.018
           my | 107673        | 0.016
           sk | 103996        | 0.016
           nu | 96312         | 0.015
           fm | 93444         | 0.014
           cx | 92424         | 0.014
           pe | 92092         | 0.014
           lu | 86822         | 0.013
           ma | 86646         | 0.013
           ke | 82521         | 0.012
           hr | 77146         | 0.012
           sa | 69131         | 0.010
           dz | 69061         | 0.010
           tk | 67956         | 0.010
           am | 61985         | 0.009
           kz | 60809         | 0.009
           pk | 60101         | 0.009
           la | 59423         | 0.009
           si | 59340         | 0.009
           ms | 56834         | 0.009
           ve | 51080         | 0.008
           by | 50522         | 0.008
           cm | 49455         | 0.007
           ad | 47372         | 0.007
           is | 47100         | 0.007
           ae | 45974         | 0.007
           ee | 45504         | 0.007
          pro | 45261         | 0.007
           ly | 44256         | 0.007
           uy | 37437         | 0.006
           do | 35392         | 0.005
           io | 34155         | 0.005
           mn | 32623         | 0.005
         coop | 30819         | 0.005
           md | 29791         | 0.004
           im | 29054         | 0.004
           py | 28011         | 0.004
           cr | 27864         | 0.004
           st | 27752         | 0.004
           gs | 27361         | 0.004
           li | 26741         | 0.004
           mg | 25912         | 0.004
           cy | 25861         | 0.004
          cat | 24998         | 0.004
           ht | 24787         | 0.004
           bm | 24341         | 0.004
           eg | 23262         | 0.004
           ec | 22318         | 0.003
           ba | 22043         | 0.003
           lb | 21938         | 0.003
           ag | 21415         | 0.003
           qa | 20579         | 0.003
           cu | 20556         | 0.003
         asia | 19753         | 0.003
           sh | 18941         | 0.003
           ug | 18932         | 0.003
           gl | 18773         | 0.003
           np | 18703         | 0.003
           bo | 17916         | 0.003
           gt | 16898         | 0.003
           jo | 16449         | 0.002
         jobs | 15827         | 0.002
           ac | 15563         | 0.002
           bd | 15392         | 0.002
           mk | 15033         | 0.002
           mu | 14725         | 0.002
           tc | 14592         | 0.002
           tt | 14418         | 0.002
           zw | 14402         | 0.002
           uz | 14264         | 0.002
           az | 13575         | 0.002
       travel | 13211         | 0.002
           lk | 13211         | 0.002
           sc | 13055         | 0.002
           ni | 12912         | 0.002
           pr | 12821         | 0.002
           kh | 12252         | 0.002
           sv | 11677         | 0.002
           mm | 11485         | 0.002
           as | 11407         | 0.002
           cd | 11300         | 0.002
           ao | 11219         | 0.002
           ne | 11140         | 0.002
           ps | 11045         | 0.002
           om | 10973         | 0.002
           tl | 10839         | 0.002
           hn | 10545         | 0.002
           nf | 10459         | 0.002
           ki | 10010         | 0.002
           pn | 9965          | 0.002
           kw | 9896          | 0.001
         aero | 9193          | 0.001
           pa | 9152          | 0.001
           ci | 9149          | 0.001
           gh | 8809          | 0.001
           ng | 8622          | 0.001
           tz | 8547          | 0.001
           gm | 8511          | 0.001
           mt | 8269          | 0.001
           mo | 8221          | 0.001
           vi | 7890          | 0.001
           kg | 7686          | 0.001
           vg | 7640          | 0.001
           al | 7505          | 0.001
           bh | 7372          | 0.001
           bn | 7274          | 0.001
           tj | 7209          | 0.001
           bw | 6838          | 0.001
           gd | 6654          | 0.001
           ky | 6577          | 0.001
           hm | 6570          | 0.001
           sn | 6400          | 0.001
           na | 6325          | 0.001
           tn | 6096          | 0.001
           lc | 6093          | 0.001
           mz | 6063          | 0.001
           vu | 5887          | 0.001
           sy | 5719          | 0.001
           gg | 5656          | 0.001
           rw | 5007          | 0.001
           mc | 4904          | 0.001
           af | 4848          | 0.001
           gi | 4713          | 0.001
           zm | 4587          | 0.001
           nc | 4516          | 0.001
           pg | 4378          | 0.001
           fo | 4370          | 0.001
           dj | 4318          | 0.001
           ai | 4305          | 0.001
           bs | 4273          | 0.001
